11	7						
Dpi-6	P	Mac	Ma	Mi	Mia	DyingP	ProliferationP
7	3391.69811320755	33293.6666666667	291.5	36.8333333333333	1.16666666666667	1.42833333333333	5.37875
11	6434.28571428572	nan	nan	nan	nan	1.93857142857143	nan
21	25593.3333333333	nan	nan	nan	nan	4.61333333333333	18.7933333333333
35	64123.0769230769	nan	nan	nan	nan	4.66294117647059	40.875
45	nan	90639.25	1346.5	5466.75	699	nan	nan
49	160365	nan	nan	nan	nan	9.38083333333333	nan
63	71580	nan	nan	nan	nan	7.3575	13.7121428571429
91	71997.1428571429	nan	nan	nan	nan	4.03	10.936
100	nan	48056.375	2067	28.875	14.375	nan	nan
133	31465.3333333333	nan	nan	nan	nan	1.73	18.34
135	31465.3333333333	48056.375	2067	28.875	14.375	nan	nan
