11	7						
Dpi-6	P	Mac	Ma	Mi	Mia	DyingP	ProliferationP
7	867.194136416858	3249.66115840474	37.7083103130685	13.9747788692503	0.792324288266981	0.159876056791984	2.04487376269469
11	2694.89010036796	nan	nan	nan	nan	0.209596307803592	nan
21	6678.9604533286	nan	370.708310313069	nan	nan	0.712483695162925	6.44845390599776
35	17836.7905535234	nan	nan	nan	nan	1.23209761499322	3.27161766452884
45	nan	19886.128951348	174.650365015364	2325.72601375816	268.517690292465	nan	nan
49	50443.5271511778	nan	374.650365015364	nan	nan	1.60215785282023	nan
63	24528.9993936852	nan	nan	nan	nan	1.55765935896506	2.40083780673629
91	46378.0033578943	nan	nan	nan	nan	0.685507111560485	2.17870282507734
100	nan	13726.0946427097	626.987724874145	19.9243547126196	11.1642565807133	nan	nan
133	8332.71110872421	nan	nan	nan	nan	0.398374474862813	3.91260463118879
135	8332.71110872421	13726.0946427097	626.987724874145	19.9243547126196	11.1642565807133	nan	nan

